구 분,2019년,2020년,2021년,2022년,2023년
서울,7,6,5,"1,007","1,576"
부산,39,29,"5,001","3,142","2,869"
대구,89,76,63,"1,825","2,965"
인천,10,54,"1,490","2,122","2,607"
광주,5,11,"1,744","1,314","2,131"
대전,63,61,57,"1,955","2,270"
울산,101,123,137,515,"1,245"
세종,395,155,"2,086","1,573","1,417"
경기,"2,739","2,578","3,487","18,227","22,153"
강원,"1,400","1,370","3,093","4,336","2,921"
충북,"3,143","2,107","7,435","6,958","6,975"
충남,"5,078","2,527","1,944","6,542","7,100"
전북,"1,678","1,253","1,530","1,388","4,063"
전남,"1,278",798,"1,413","3,103","4,403"
경북,"3,317","2,058","3,985","7,610","10,923"
경남,"1,411","1,088","2,681",921,"2,238"
제주,644,813,"1,110","1,451","1,422"
합계,"21,397","15,107","37,261","63,989","79,278"
